Time [s],Channel 0
0.438071963,1
0.439123000,0
0.439537000,1
0.439639000,0
0.439848000,1
0.439950000,0
0.440158000,1
0.440260000,0
0.440469000,1
0.440571000,0
0.440678000,1
0.440779000,0
0.440886000,1
0.440988000,0
0.441095000,1
0.441197000,0
0.441303000,1
0.441405000,0
0.441513000,1
0.441615000,0
0.441722000,1
0.441824000,0
0.441930000,1
0.442032000,0
0.442139000,1
0.442241000,0
0.442347000,1
0.442449000,0
0.442556000,1
0.442658000,0
0.442765000,1
0.442866000,0
0.442973000,1
0.443075000,0
0.443183000,1
0.443285000,0
0.443494000,1
0.443596000,0
0.443805000,1
0.443906000,0
0.444115000,1
0.444217000,0
0.444324000,1
0.444426000,0
0.444533000,1
0.444634000,0
0.444741000,1
0.444843000,0
0.444950000,1
0.445052000,0
0.445158000,1
0.446137000,0
0.446329000,1
0.446428000,0
0.446526000,1
0.446627000,0
0.446819000,1
0.446918000,0
0.447110000,1
0.447209000,0
0.447307000,1
0.447408000,0
0.447599000,1
0.447699000,0
0.447797000,1
0.447898000,0
0.447997000,1
0.448098000,0
0.448197000,1
0.448298000,0
0.448490000,1
0.448589000,0
0.448687000,1
0.448789000,0
0.448889000,1
0.448989000,0
0.449180000,1
0.449279000,0
0.449377000,1
0.449479000,0
0.449670000,1
0.449770000,0
0.449961000,1
0.450758000,1
